"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Publisher","ISSN","ISBN","CODEN","Document Type","Publication Stage","Open Access","Source","EID"
"Gupta S.; Meissonier R.; Drave V.A.; Roubaud D.","Gupta, Shivam (55851943244); Meissonier, Régis (23667824100); Drave, Vinayak A. (57203393180); Roubaud, David (56046754600)","55851943244; 23667824100; 57203393180; 56046754600","Examining the impact of Cloud ERP on sustainable performance: A dynamic capability view","2020","International Journal of Information Management","51","","102028","","","","83","10.1016/j.ijinfomgt.2019.10.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075462052&doi=10.1016%2fj.ijinfomgt.2019.10.013&partnerID=40&md5=5f4f15a99de217b0faefdd9f50dcf17c","Montpellier Business School, Montpellier Research in Management, 2300 Avenue des Moulins, Montpellier, 34185, France; IAE Montpellier, Montpellier Research in Management, University of Montpellier, Place Eugène Bataillon, Montpellier, 34000, France; Department and Graduate Institute of Business Administration, College of Management, Chaoyang University of Technology, No. 168, Jifeng East Road, Wufeng District, Taichung City, 413, Taiwan","Gupta S., Montpellier Business School, Montpellier Research in Management, 2300 Avenue des Moulins, Montpellier, 34185, France; Meissonier R., IAE Montpellier, Montpellier Research in Management, University of Montpellier, Place Eugène Bataillon, Montpellier, 34000, France; Drave V.A., Department and Graduate Institute of Business Administration, College of Management, Chaoyang University of Technology, No. 168, Jifeng East Road, Wufeng District, Taichung City, 413, Taiwan; Roubaud D., Montpellier Business School, Montpellier Research in Management, 2300 Avenue des Moulins, Montpellier, 34185, France","The infusion of cloud-based operations, industrial internet connectivity, additive manufacturing, and cybersecurity platforms has not only re-engineered but also revitalized modern factories (Industry 4.0). Cloud-based Enterprise Resource Planning (Cloud ERP), which is a part of the cloud operations and one of the four major pillars of Industry 4.0, helps to attain higher levels of sustainable performance. Organizations invest considerable time and money to acquire both tangible and intangible capabilities to rise as an Industry 4.0 business. A great deal of research has focused on the bifurcation of the actual characteristics of performance. This study investigates the hidden linkage between one of the significant pillars of Industry 4.0 (CERP) and attributes of sustainable organizational performance while considering the effect of variables like firm size, cloud service type, and offerings that enact as control variables while achieving sustainable performance. The proposed hypotheses were empirically examined using primary cross-sectional data. Following Dillman (2007) guidelines, 209 responses were collected from technologically driven organizations and analyzed using partial least square structure equation modelling (PLS-SEM). The results offer interesting implications to the theory and provide further guidance to managers. © 2019 Elsevier Ltd","Cloud ERP; Dynamic capability View theory; Organizational resources; Sustainable performance","Elsevier Ltd","02684012","","IJMAE","Article","Final","","Scopus","2-s2.0-85075462052"
"Patalas-Maliszewska J.; Kłos S.; Dostatni E.","Patalas-Maliszewska, Justyna (36499655000); Kłos, Sławomir (56416518200); Dostatni, Ewa (48360906300)","36499655000; 56416518200; 48360906300","Sustainable Business Model integrated with the Enterprise Resource Planning system: SBM-ERP","2022","Bulletin of the Polish Academy of Sciences: Technical Sciences","70","6","e143829","","","","3","10.24425/bpasts.2022.143829","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159859092&doi=10.24425%2fbpasts.2022.143829&partnerID=40&md5=802c69b831e9eda2be92655585686301","University of Zielona Góra, Szafrana 4, Zielona Góra, 65-516, Poland; Poznań University of Technology, M. Skłodowskiej-Curie 5, Poznań, 60-965, Poland","Patalas-Maliszewska J., University of Zielona Góra, Szafrana 4, Zielona Góra, 65-516, Poland; Kłos S., University of Zielona Góra, Szafrana 4, Zielona Góra, 65-516, Poland; Dostatni E., Poznań University of Technology, M. Skłodowskiej-Curie 5, Poznań, 60-965, Poland","Increasing the role of sustainable production benefits in transforming manufacturing towards the sustainable organisation. The proposed model integrates two dimensions, namely, the Sustainable Business Model (SBM) and the Enterprise Resource Planning (ERP) system, and defines it as the SBM-ERP. This paper focuses attention on determining SBM-ERP based on the literature research, Fuzzy Analytical Hierarchy Process (F-AHP) method and the results of the analysis on the experiences with the implementation of the ERP system in manufacturing. It was determined that the proprietary approach allows the company’s sustainable manufacturing activities to be organised and monitored, based on real-time data and information, as updated and included in the ERP system. We also emphasized the practicality of the proposed approach for managers of manufacturing companies with an implemented ERP system. © 2022 The Author(s).","assessment of sustainability; case study; Enterprise Resource Planning (ERP) system; Polish manufacturing company","Polska Akademia Nauk","02397528","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85159859092"
"Pourdehghan Z.; Piroozfar S.","Pourdehghan, Zeinab (57205733725); Piroozfar, Shahnaz (54789988600)","57205733725; 54789988600","Dynamic Modeling of the Relationship between Risks of Activities and Reduction of Activities Time in the Post-Implementation Phase of the Enterprise Resource Planning System Using Fuzzy Cognitive Maps","2019","Proceedings of 2019 15th Iran International Industrial Engineering Conference, IIIEC 2019","","","8720648","195","202","7","0","10.1109/IIIEC.2019.8720648","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067129873&doi=10.1109%2fIIIEC.2019.8720648&partnerID=40&md5=dfc1011a54f123e364cf948aa47aaa21","Faculty of Industrial Engineering, South Tehran Branch, Islamic Azad University, Tehran, Iran","Pourdehghan Z., Faculty of Industrial Engineering, South Tehran Branch, Islamic Azad University, Tehran, Iran; Piroozfar S., Faculty of Industrial Engineering, South Tehran Branch, Islamic Azad University, Tehran, Iran","In recent years Many Iranian organizations have used ERP systems to improve the performance and effectiveness of their organizational activities, while very few of them have gained sustainable advantages of this system. One of those benefits is reducing of cycle time of production and one of the factors that reduces the cycle time of production is to reduce the time of activities. The successful implementation of an ERP system is just the first step in achieving a successful system and its sustainable advantages depend on continuous support, maintenance and upgrade of the system in the exploitation or post implementation phase. The post implementation phase is exactly where real challenges begin and many dangerous risks are likely to occur. In this study, the relationship between the risks of activities and the time of activities in post-implementation phase is dynamically modelled using Fuzzy Cognitive Maps. The main advantage of fuzzy cognitive map is its ability to model complex phenomena based on expert perceptions. This tool modeling related and uncertain events by imitation of human reasoning. For this purpose, 36 risks were identified and collected and categorized into 5 groups of user, technical, managerial, operational and external risks, and their relationships between them and reduction of time of activities were modelled. According to the findings of this study, managerial risks had the greatest impact on other system risks and output. © 2019 IEEE.","ERP system risks; FCMS; Fuzzy Cognitive Maps; Post-implementation Phase; Reduction of activities time","Institute of Electrical and Electronics Engineers Inc.","","978-172811775-1","","Conference paper","Final","","Scopus","2-s2.0-85067129873"
"El Haouat Z.; Essalih S.; Bennouna F.; Ramadany M.; Amegouz D.","El Haouat, Zineb (58046672200); Essalih, Safaa (57698794300); Bennouna, Fatima (56483232900); Ramadany, Mohammed (57194349792); Amegouz, Driss (56483295900)","58046672200; 57698794300; 56483232900; 57194349792; 56483295900","The Contribution of an ERP System in an LCA Analysis: A Case Study","2023","Lecture Notes in Networks and Systems","668 LNNS","","","833","844","11","0","10.1007/978-3-031-29857-8_83","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161388992&doi=10.1007%2f978-3-031-29857-8_83&partnerID=40&md5=e9d9db8b6348094f0c75018d1e9a5150","Higher School of Technology, Sidi Mohammed Ben Abdellah University, Fez, 30050, Morocco; National School of Applied Sciences, Sidi Mohammed Ben Abdellah University, Fez, 30050, Morocco; Faculty of Sciences and Techniques, Sidi Mohammed Ben Abdellah University, Fez, 30050, Morocco","El Haouat Z., Higher School of Technology, Sidi Mohammed Ben Abdellah University, Fez, 30050, Morocco; Essalih S., Higher School of Technology, Sidi Mohammed Ben Abdellah University, Fez, 30050, Morocco; Bennouna F., National School of Applied Sciences, Sidi Mohammed Ben Abdellah University, Fez, 30050, Morocco; Ramadany M., Faculty of Sciences and Techniques, Sidi Mohammed Ben Abdellah University, Fez, 30050, Morocco; Amegouz D., Higher School of Technology, Sidi Mohammed Ben Abdellah University, Fez, 30050, Morocco","With the emergence of Industry 4.0, the concept of sustainability has been adopted in many manufacturing companies. This concept aims to integrate management systems by respecting all aspects of sustainability, including the aspect of environmental impact assessment of the life cycle of a product that integrates enterprise resource planning (ERP) software. Since the collection of information can be exploited from an environmental point of view, this paper has gone even further in trying to describe the architecture and application of a Life Cycle Assessment (LCA) and show that more than 53.33% of the full data and 24.23% of the partial data are available in the ERP systems, which serves as a basis for the realization of the Life Cycle Inventory (LCI) phase, the most time and energy consuming phase. The realization of LCA is beneficial to organizations to the same degree as a commercial discipline that will be able to focus on ERP data and reduce the collection of data from other sources. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.","BOM; digitalization of manufacturing; ERP; Industry 4.0; LCA; LCI; MES","Springer Science and Business Media Deutschland GmbH","23673370","978-303129856-1","","Conference paper","Final","","Scopus","2-s2.0-85161388992"
"Orosz I.; Orosz T.","Orosz, Istvan (54897420400); Orosz, Tamas (55903395300)","54897420400; 55903395300","Software as a service in cloud based ERP change management","2017","SISY 2017 - IEEE 15th International Symposium on Intelligent Systems and Informatics, Proceedings","","","8080549","181","186","5","2","10.1109/SISY.2017.8080549","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040161643&doi=10.1109%2fSISY.2017.8080549&partnerID=40&md5=dd7887a4d93206b8bba61be4a6796bc1","Óbuda University/AMK, Székesfehérvár, Hungary","Orosz I., Óbuda University/AMK, Székesfehérvár, Hungary; Orosz T., Óbuda University/AMK, Székesfehérvár, Hungary","Cloud based technology heavily changed the way how Enterprise Resource Planning (ERP) systems are handled through the whole lifecycle. The previous release-by-release driven by main version change (from pre-alpha to gold release) was developed into a continuous release management. Business processes although remained the same, but how can be determined, which part of the software needs to remain untouched, while evolving to continuous lifecycle support. One of the key questions is to ensure the continuous reliability of the software product. Due to the sudden change and improvement, this type of lifecycle management can be described as Software-as-a-Service (SaaS) type methodology. As from the current implementations, this process does not necessarily leads to a Business Process Reengineering (BPR). This paper introduces change management methodology applied to a specific ERP system, Microsoft Dynamics AX business process lifecycle maintenance implementation project. This approach seems to be suitable for supporting the long term sustainability of the software product. © 2017 IEEE.","BPR; Change Management; Dynamics 365; ERP; Model Driven Architecture; SaaS","Institute of Electrical and Electronics Engineers Inc.","","978-153863855-2","","Conference paper","Final","","Scopus","2-s2.0-85040161643"
"Qureshi M.R.N.M.","Qureshi, Mohamed Rafik Noor Mohamed (22986225600)","22986225600","Evaluating Enterprise Resource Planning (ERP) Implementation for Sustainable Supply Chain Management","2022","Sustainability (Switzerland)","14","22","14779","","","","4","10.3390/su142214779","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142724068&doi=10.3390%2fsu142214779&partnerID=40&md5=a43c63ce3f06551ca68117111172443d","Department of Industrial Engineering, College of Engineering, King Khalid University, Abha, 61421, Saudi Arabia","Qureshi M.R.N.M., Department of Industrial Engineering, College of Engineering, King Khalid University, Abha, 61421, Saudi Arabia","Enterprise Resource Planning (ERP) plays a vital role in an organization’s growth and sustainability in the supply chain. ERP implementations have a mix of critical success factors (CSFs) that are very important. Hence, it is essential to study the CSFs, their mutual influence and their severity in terms of prioritization for the I4.0. The goal of the current study is to identify CSFs for ERP implementations, as well as their interdependence and ranking. The CSFs of ERP deployment were discovered by a thorough analysis of the literature and subsequent input from a group of subject matter experts. Using the interpretive structural modeling (ISM) method, the shortlisted CSFs were modeled, and after that, the matrice d’ impacts croises multiplication appliqué an classement (MICMAC) analysis was used to classify them. The interpretative ranking technique was used to carry out the subsequent prioritization and ranking (IRP). In the present research, the modeling of CSFs for successful ERP implementations was carried out to accomplish much-needed sustainability in the supply chain. The result revealed the three top-ranked CSFs for successful ERP implementations: “Top management support”, “Change management” and “Business process reengineering.” This research can help practicing managers prepare an ERP implementation plan to accomplish sustainability in SCM. Each CSF’s role can be studied in terms of the mutual relationships for its control. This research can also help in prioritizing strategies for optimizing the resources required for ERP implementations. © 2022 by the author.","critical success factors (CSFs); Delphi technique; ERP implementation; interpretative ranking process (IRP); interpretive structure modeling (ISM); MICMAC; sustainable supply chain","MDPI","20711050","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85142724068"
"Perau M.; Seker D.; Schröer T.; Schuh G.","Perau, Martin (57219372695); Seker, Dogukan (58654238200); Schröer, Tobias (57195469732); Schuh, Günther (58640108700)","57219372695; 58654238200; 57195469732; 58640108700","Gap Analysis for CO2 Accounting Tool by Integrating Enterprise Resource Planning System Information","2023","IFIP Advances in Information and Communication Technology","692 AICT","","","58","71","13","0","10.1007/978-3-031-43688-8_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174436076&doi=10.1007%2f978-3-031-43688-8_5&partnerID=40&md5=ad010a9e06a13beae37cd7a5cb80b2b9","FIR, Insitute for Industrial Management at RWTH Aachen University, Campus-Boulevard 55, Aachen, 52074, Germany","Perau M., FIR, Insitute for Industrial Management at RWTH Aachen University, Campus-Boulevard 55, Aachen, 52074, Germany; Seker D., FIR, Insitute for Industrial Management at RWTH Aachen University, Campus-Boulevard 55, Aachen, 52074, Germany; Schröer T., FIR, Insitute for Industrial Management at RWTH Aachen University, Campus-Boulevard 55, Aachen, 52074, Germany; Schuh G., FIR, Insitute for Industrial Management at RWTH Aachen University, Campus-Boulevard 55, Aachen, 52074, Germany","Detailed carbon accounting is the foundation for reducing CO2 emissions in manufacturing companies. However, existing accounting approaches are primarily based on manual data preparation, although manufacturing companies already have a variety of IT systems and resulting data available. The gap analysis carried out based on the GHG Protocol and an reference ERP system shows how much of the required information for CO2 accounting can be integrated from an ERP system. The ERP system can cover 20% of the required information. The information availability can be increased to 49% through additionally identified modifications of the ERP system. Integrating the CO2 accounting tool with other systems of the IT landscape, e.g. Energy Information System, enables an additional increase. © 2023, IFIP International Federation for Information Processing.","CO<sub>2</sub> accounting; enterprise resource planning system; gap analysis; information system; IT landscape; sustainability","Springer Science and Business Media Deutschland GmbH","18684238","978-303143687-1","","Conference paper","Final","","Scopus","2-s2.0-85174436076"
"Nafianto C.; Puspitasari W.; Saputra M.","Nafianto, Chandratya (57212101701); Puspitasari, Warih (56436781400); Saputra, Muhardi (57211266370)","57212101701; 56436781400; 57211266370","Development of Flexible Production Scheduling by Applying Gantt Charts in Manufacturing Module Open Source ERP (Case Study CV. XYZ)","2019","ICSECC 2019 - International Conference on Sustainable Engineering and Creative Computing: New Idea, New Innovation, Proceedings","","","8907025","182","185","3","15","10.1109/ICSECC.2019.8907025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075923009&doi=10.1109%2fICSECC.2019.8907025&partnerID=40&md5=1c90a2b855d8b3c9d13f5213749184f5","Telkom University, Faculty of Industrial and System Engineering, Bandung, Indonesia","Nafianto C., Telkom University, Faculty of Industrial and System Engineering, Bandung, Indonesia; Puspitasari W., Telkom University, Faculty of Industrial and System Engineering, Bandung, Indonesia; Saputra M., Telkom University, Faculty of Industrial and System Engineering, Bandung, Indonesia","CV. XYZ is a manufacturing company engaged in the textile industry producing t-shirts, cotton fabrics, and various other textile products. One of the business processes in the CV. XYZ is the production section. The main problems in the production section are the absence of a system that relates between production department and warehouse department in carrying out business processes and does not have any reports. Development of Enterprise Resource Planning (ERP) can be a solution for CV. XYZ. Odoo is one of open source ERP software that is widely used by various types of companies. The development of CV. XYZ uses the Odoo Quickstart Methodology. This methodology can implement the completion process on time and the costs needed can be adjusted to the project. The purpose of the development of CV. XYZ is to make their business processes can be accessed effectively and efficiently with the flexible production scheduling system. Once the ERP implementation is finished the system is measured using System Usability Scale (SUS) to measure the system usefulness based on the SUS result, the ERP implementation has succeed and acceptable. © 2019 IEEE.","ERP; MRP; Odoo; QuickStart; SUS","Institute of Electrical and Electronics Engineers Inc.","","978-172815192-2","","Conference paper","Final","","Scopus","2-s2.0-85075923009"
"Terminanto A.; Hidayanto A.N.; Utomo F.B.","Terminanto, Agung (55932622400); Hidayanto, Achmad Nizar (57205093001); Utomo, Fajar Budi (57220320055)","55932622400; 57205093001; 57220320055","Implementation open source system resource planning in sustainable supply chain management of small and medium enterprise","2020","International Journal of Supply Chain Management","9","3","","472","495","23","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087743565&partnerID=40&md5=fb5db7da4a8ee5ad7170b49fed6b738d","Computer Science Department, Faculty of Computer Science, Universitas Indonesia, Depok, Indonesia; Industrial Engineering Department, Faculty of Engineering, Pancasila University, Jakarta, Indonesia","Terminanto A., Computer Science Department, Faculty of Computer Science, Universitas Indonesia, Depok, Indonesia; Hidayanto A.N., Computer Science Department, Faculty of Computer Science, Universitas Indonesia, Depok, Indonesia; Utomo F.B., Industrial Engineering Department, Faculty of Engineering, Pancasila University, Jakarta, Indonesia","In the production logistics context, the success of supply chains corresponds to their ability to meet the logistic performance expectations of customers. This ability depends on the contributions of all supply chain members to the logistical performance of the entire chain. Implementation of ERP system is one way that can be done to improve the performance of company. Implementation of ERP System using open source with ASAP method. Open source selected is Odoo. Use case modeling is used to design and describe user permissions. Created gap analysis and flow map of purchase orders process, incoming product and outbound input to compare business process before and after using Odoo. Implementation is initiated by restore master data activity. Furthermore, setting the Odoo on the Warehouse and Purchase module. After the implementation of Odoo in PT SJM, the existing documents can be accessed in real-time and increased efficiency of activity in the Warehouse, the amount of activity by 31%, the number of documents reduced by 50%, the efficiency traveled by 91% which is 48% faster, and all data is integrated into one database. This indicates that Odoo provides benefits for improving company performance. © ExcelingTech Pub.","ERP open source; Metode ASAP; Modul purchase; Odoo; Warehouse","ExcelingTech","20513771","","","Article","Final","","Scopus","2-s2.0-85087743565"
"Abu Madi A.; Ayoubi R.M.; Alzbaidi M.","Abu Madi, Abdallah (57753760800); Ayoubi, Rami M. (16315256100); Alzbaidi, Mohammad (57226621303)","57753760800; 16315256100; 57226621303","Spotting the Critical Success Factors of Enterprise Resource Planning Implementation in the Context of Public Higher Education Sector","2024","International Journal of Public Administration","47","2","","73","89","16","2","10.1080/01900692.2022.2085300","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132373026&doi=10.1080%2f01900692.2022.2085300&partnerID=40&md5=cb8d98821222b5448d37f85892e9a3d5","Business School, Wolverhampton University, Wolverhampton, United Kingdom; School of Strategy and Leadership, Coventry University, Coventry, United Kingdom","Abu Madi A., Business School, Wolverhampton University, Wolverhampton, United Kingdom; Ayoubi R.M., School of Strategy and Leadership, Coventry University, Coventry, United Kingdom; Alzbaidi M., School of Strategy and Leadership, Coventry University, Coventry, United Kingdom","The failure of Enterprise Resource Planning (ERP) implementation in higher education institutions (HEIs) worldwide is much higher than other sectors, such as banking or manufacturing, yet limited research has been conducted on this field. To date, previous literature has identified some critical success factors (CSFs) mostly either in the domain of information system (IS) or in the industrial context. Hence, this article identifies and categorises CSFs of ERP implementation in HEIs from multiple aspects. Semi-structured face-to-face interviews were conducted with technicians and managers from three Public Jordanian HEIs. The main finding of this study is the identification and characterization of three new sector- and context-specific CSFs. This research contributes to identifying new CSFs with evidence of successful implementation of ERP systems in the public higher education sector, which has not been fully investigated in any documented literature in the sector. The research also brings out some insights for the need for sustainable ERP in the sector during crisis time. © 2022 The Author(s). Published with license by Taylor & Francis Group, LLC.","critical success factors; ERP implementation; higher education institutions","Routledge","01900692","","","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85132373026"
"Zschieck C.; Weiss F.; Wirz P.","Zschieck, Catharina (57192513823); Weiss, Frances (57219735036); Wirz, Patrick (57192552737)","57192513823; 57219735036; 57192552737","Towards a framework for overcoming the challenges of a sustainable ERP education at higher education institutions in sub-Saharan Africa","2016","2016 IEEE International Conference on Emerging Technologies and Innovative Business Practices for the Transformation of Societies, EmergiTech 2016","","","7737342","218","221","3","1","10.1109/EmergiTech.2016.7737342","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006721554&doi=10.1109%2fEmergiTech.2016.7737342&partnerID=40&md5=314d7fa88d310d3613741f15c4784232","Otto von Guericke University Magdeburg, Faculty of Computer Science, VLBA Lab, Magdeburg, Germany","Zschieck C., Otto von Guericke University Magdeburg, Faculty of Computer Science, VLBA Lab, Magdeburg, Germany; Weiss F., Otto von Guericke University Magdeburg, Faculty of Computer Science, VLBA Lab, Magdeburg, Germany; Wirz P., Otto von Guericke University Magdeburg, Faculty of Computer Science, VLBA Lab, Magdeburg, Germany","ERP education at higher education institutions is a widely debated topic. In this context, challenges for developing countries increasingly become an area of focus. In recent academic discourses and debates there is a clear tendency to highlight the critical factors for a successful ERP education. This research paper tries to broaden the perspective on ERP education by linking critical success factors to sustainability considerations. Sustainability still is an underestimated but substantial aspect concerning ERP education. With a regional focus on sub-Saharan Africa the potential of integrating sustainability criteria into educational processes are illustrated. By means of a case study, a possible approach of successfully linking ERP education and sustainability criteria will be introduced. © 2016 IEEE.","Africa; education; Enterprise Resource Planning; higher education institutions; sustainability","Institute of Electrical and Electronics Engineers Inc.","","978-150900706-6","","Conference paper","Final","","Scopus","2-s2.0-85006721554"
"Morales V.; Vendrametto O.; dos Santos S.D.; Lessa V.S.; Sartor E.A.","Morales, Valdir (57006352600); Vendrametto, Oduvaldo (35797847000); dos Santos, Samuel Dereste (56349847900); Lessa, Vanessa Santos (57212734670); Sartor, Edivaldo Antonio (57006762700)","57006352600; 35797847000; 56349847900; 57212734670; 57006762700","ERP evaluation in cloud computing environment","2015","IFIP Advances in Information and Communication Technology","459","","","78","84","6","1","10.1007/978-3-319-22756-6_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950116816&doi=10.1007%2f978-3-319-22756-6_10&partnerID=40&md5=a53d05dea0d0402626ea1aef041f3b87","Paulista University-UNIP, São Paulo, Brazil; Instituição Faculdade de Informática e Adm, Paulista – FIAP, São Paulo, Brazil","Morales V., Paulista University-UNIP, São Paulo, Brazil; Vendrametto O., Paulista University-UNIP, São Paulo, Brazil; dos Santos S.D., Paulista University-UNIP, São Paulo, Brazil; Lessa V.S., Paulista University-UNIP, São Paulo, Brazil; Sartor E.A., Instituição Faculdade de Informática e Adm, Paulista – FIAP, São Paulo, Brazil","With the evolution of the Internet many services before running on a local network, they moved to the cloud environment. As an example, the ERP Local migrating to the Cloud environment. This concept provides a new way of using IT resources. This research aims to evaluate the use of ERP in the Cloud Computing environment observing its advantages and disadvantages, as well as to identify its real applicability in the market, using as references the global survey by Gartner and an applied survey with IT experts on Internet services in Brazil. Based on these two studies it is possible to mitigate risks in the Local ERP migration to the ERP Cloud. © IFIP International Federation for Information Processing 2015.","Cloud computing; ERP; Market; System","Springer New York LLC","18684238","978-331922755-9","","Conference paper","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-84950116816"
"Chofreh A.G.; Goni F.A.; Klemeš J.J.","Chofreh, Abdoulmohammad Gholamzadeh (54418482700); Goni, Feybi Ariani (36706078200); Klemeš, Jiří Jaromír (56903012000)","54418482700; 36706078200; 56903012000","Development of a roadmap for Sustainable Enterprise Resource Planning systems implementation (part II)","2017","Journal of Cleaner Production","166","","","425","437","12","24","10.1016/j.jclepro.2017.08.037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029165742&doi=10.1016%2fj.jclepro.2017.08.037&partnerID=40&md5=91509c37912447b9699491514492635e","Department of Industrial Engineering, Ahvaz Branch, Islamic Azad University, Ahvaz, Iran; Department of Business Administration, Ahvaz Branch, Islamic Azad University, Ahvaz, Iran; Sustainable Process Integration Laboratory – SPIL, NETME Centre, Faculty of Mechanical Engineering, Brno University of Technology - VUT Brno, Technická 2896/2, Brno, 616 69, Czech Republic","Chofreh A.G., Department of Industrial Engineering, Ahvaz Branch, Islamic Azad University, Ahvaz, Iran; Goni F.A., Department of Business Administration, Ahvaz Branch, Islamic Azad University, Ahvaz, Iran; Klemeš J.J., Sustainable Process Integration Laboratory – SPIL, NETME Centre, Faculty of Mechanical Engineering, Brno University of Technology - VUT Brno, Technická 2896/2, Brno, 616 69, Czech Republic","Organisations need to implement Sustainable Enterprise Resource Planning (S-ERP) systems to manage their sustainable business. This system enables an integration of sustainable processes, information and data on every level of the organisations' value chain. Leading information technology companies like Oracle, Microsoft, and Systemanalyse und Programmentwicklung (SAP) have developed such sustainable enterprise system. However, the problem faced by companies is in the implementation of the S-ERP systems. Due to the absence of a master plan, organisations are not always provided with a thorough plan on the implementation process of the system. This gap in the available knowledge has motivated researchers to engage in the development of a master plan to implement the S-ERP systems that consist of a roadmap, framework, and guidelines. The aim of this research is to concentrate on the development of the roadmap providing the implementation stages of the S-ERP systems. A conceptual research method is used in the study that is mainly dependent on the available literature. Numerous existing roadmaps are reviewed to expose the gaps and inconsistencies. Project management method is used as a basic concept for developing the roadmap. As a result, the roadmap includes three phases (pre-implementation, implementation, and post-implementation) and each of them includes numerous stages to implement the S-ERP systems. This roadmap would be useful for practitioners in providing the stages to implement the S-ERP system in their organisations. © 2017 Elsevier Ltd","Development; Implementation; Master plan; Roadmap; Sustainable enterprise resource planning","Elsevier Ltd","09596526","","JCROE","Article","Final","","Scopus","2-s2.0-85029165742"
"Kouriati A.; Moulogianni C.; Kountios G.; Bournaris T.; Dimitriadou E.; Papadavid G.","Kouriati, Asimina (57222498802); Moulogianni, Christina (57200226330); Kountios, Georgios (55600138500); Bournaris, Thomas (15729214000); Dimitriadou, Eleni (57225678676); Papadavid, George (25924466300)","57222498802; 57200226330; 55600138500; 15729214000; 57225678676; 25924466300","Evaluation of Critical Success Factors for Enterprise Resource Planning Implementation Using Quantitative Methods in Agricultural Processing Companies","2022","Sustainability (Switzerland)","14","11","6606","","","","5","10.3390/su14116606","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131523210&doi=10.3390%2fsu14116606&partnerID=40&md5=0f7908b0c45c44249b528859bab28920","Department of Agricultural Economics, Aristotle University of Thessaloniki, Thessaloniki, 52424, Greece; Department of Agricultural Sciences, Biotechnology and Food Science, Cyprus University of Technology, Limassol, 3036, Cyprus; Agricultural Research Institute Cyprus, Athalassa, Nicosia, 1516, Cyprus","Kouriati A., Department of Agricultural Economics, Aristotle University of Thessaloniki, Thessaloniki, 52424, Greece; Moulogianni C., Department of Agricultural Economics, Aristotle University of Thessaloniki, Thessaloniki, 52424, Greece; Kountios G., Department of Agricultural Sciences, Biotechnology and Food Science, Cyprus University of Technology, Limassol, 3036, Cyprus; Bournaris T., Department of Agricultural Economics, Aristotle University of Thessaloniki, Thessaloniki, 52424, Greece; Dimitriadou E., Department of Agricultural Economics, Aristotle University of Thessaloniki, Thessaloniki, 52424, Greece; Papadavid G., Agricultural Research Institute Cyprus, Athalassa, Nicosia, 1516, Cyprus","This study aims to evaluate critical success factors (CSFs), considering the perspectives of various stakeholders who are involved in enterprise resource planning (ERP) implementation in agricultural processing companies in Central Macedonia (Greece). This evaluation—combined with aspects from the literature—may show how a digital production system can be managed and rede-signed to become sustainable for a company. Research was conducted through the use of a specially designed questionnaire that was addressed to various stakeholders in the ERP implementation in agricultural processing companies. Descriptive statistics, Grey Relational Analysis (GRA), and Friedman test methods were used in order for relevant information to be identified and valid conclusions to be drawn. Given the results of the grey relational analysis (GRA), respondents consider 33 out of 37 critical success factors to be “very important”. Friedman test results seem to differ from GRA results in 19 out of 37 factors with regard to their ranking. Based on this, and using two different methods, the most important ERP critical success factors are highlighted. For the objective aim of this paper to be fulfilled, there is a contribution giving insights into stakeholders’ perspectives regarding the management of a digital production system in the field of agricultural processing companies. It also contributes to the literature, as it highlights methods that refer to the evaluation of critical success factors for ERP implementation. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","agricultural processing companies; critical success factors; enterprise resource planning; Friedman test; Greece; grey relational analysis; sustainability","MDPI","20711050","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85131523210"
